URL,Name,Group,SpecialStyle
https://iondistrict.com/events/month/,Ion_District,Tech,1
https://www.tmc.edu/innovation/events/list/,Texas_Medical_Center_Innovation,Tech,0
https://www.meetup.com/houston-ai-club/,Houston_AI_Club,Tech,0
https://www.meetup.com/houston-reading-parties/,Houston_Reading_Party_Meetup,Social,0
https://www.threads.net/@sbchoustoncentral,Silent_Book_Club,Social,0
https://continentalclub.com/houston,Continental_Club,Events,0
https://www.milleroutdoortheatre.com/performance-list/,Miller_Outdoor_Theatre,Events,0
https://houstonsymphony.org/performance-calendar/,Houston_Symphony,Events,0
https://www.houstondynamofc.com/schedule/,Houston_Dynamo,Events,0
https://www.posthtx.com/event?location=Art+Club,Post_HTX_Art_Club,Events,0
https://www.posthtx.com/event?location=POST+Market,Post_HTX_Market,Events,0
https://www.posthtx.com/event?location=Rooftop,Post_HTX_Rooftop,Events,0
https://www.posthtx.com/event?location=X+Atrium,Post_HTX_X_Atrium,Events,0
https://www.posthtx.com/event?location=Z+Atrium,Post_HTX_Z_Atrium,Events,0
https://www.posthtx.com/event?location=713+Music+Hall,Post_HTX_Music_Hall,Events,0
https://www.murderbooks.com/event,Murder_by_the_Book,Events,0
https://www.mfah.org/calendar?p=1,MFAH,Events,0
https://www.mfah.org/calendar?p=2,MFAH,Events,0
https://www.mfah.org/calendar?p=3,MFAH,Events,0
https://www.meetup.com/houston-data-and-ai-meetup/,Houston Data & AI,Tech,0
https://www.meetup.com/houston-machine-learning/,Houston Machine Learning,Tech,0
https://contenthub.himss.org/wcc/eh/3494986/category/94408/upcoming,HIMSS Webinars,Tech,0
https://www.meetup.com/python-14/events/,Houston Python Meetup,Tech,0
https://www.toyotacenter.com/events,Toyota Center,Events,0
https://houstonfirst-web.ungerboeck.com/coe/coe_p1_all.aspx?oc=01&cc=COE,George R Brown Convetion Center,Events,0
https://www.nrgpark.com/events-tickets/,NRG Event Center,Events,0
https://www.discoverygreen.com/events/?f=week,Discovery Green,Event s,0
https://events.rice.edu/week/categories/Open%20to%20the%20Public,Rice University Events ,Events,0
